"subj_id","rule_check","worker_comments","number_correct_part1","number_correct_part2"
"546e8bc6fdf99b2bc7ebd029","I have noticed that they are either in the left or middle spots, but I haven't been able to notice a pattern beyond that.","The instructions throughout the study were very clear and easy to understand.",20,30
"55848744fdf99b574f55ada0","not really it seemed to switch around",NA,19,10
"558fd02cfdf99b39cb035e5d","I thought maybe shapes also had gems but not sure.  Fruits obviously had them","I don't remember what I clicked in round 1, other than the fruits",16,11
"56d56e550b5634000bdc5703","I think there where more in the middle box overall then the others. But im not totally sure.",NA,22,27
"56e6a66af6ed900006a5867c","I didn't notice.",NA,15,28
"572bcdbb34b25a0010ddd977","Yes, the gems showed up always in the left or middle boxes","Interesting. Thank you",30,34
"58a43e029a17120001d910d5","I have not noticed anything except the fruit rule.","None",11,12
"58c4ff360f0c150001ed45a4","no",NA,30,20
"59dd90f6e75b450001a68dac","They always seemed to be in the middle or on the right, but it appeared to be at random whether they'd be in one of the other. I don't think the gems were ever in the left box.",NA,32,40
"59fabb7e38ed430001be6965","na",NA,15,8
"5a0c4184fe645f0001e9f5dd","No, I didn't.",NA,15,10
"5a993b151eda410001365a23","No",NA,13,33
"5a9fa90f873cda00010d29d8","I think animals get gems","It was fun!",15,31
"5aafd9eff69e940001d88bf4",NA,"No comments.",21,12
"5b1966a168a5ed0001735813","no","no problems encountered studt ran smoothly",30,28
"5b3e2334cdb4ce0001d93c51","No, Besides from the hint of fruit always having gems, I could not notice a pattern.","n/a",9,17
"5b52f4933234ab00014ca442","na",NA,18,42
"5b5ecd4b7757ed000198d434","I'm not sure, other than fruit.",NA,20,10
"5b681788ca518a0001c7a755","Well, I was supposed to be looking for fruit, but apparently peas don't count as fruit and other than that there wasn't an awful lot of fruit going on. I'm not sure what's happening.","I don't really. I was a bit confused by you telling me to select fruits and then to be presented with a total lack of fruits.",15,35
"5c0873675b32d500012e3f2c","I didn't notice any regularity in the location, I was trying to find a link between the words.","None",18,38
"5c28b31a0091e40001ca5030","na","it was hard remembering my choices in round 2 but I think I did ok for my age",33,39
"5c4d8d706b23ab0001a34af2","na",NA,20,15
"5c4f5967aac8be0001716a65","did not notice",NA,17,40
"5c73d2817ed3a70001fc2929","na",NA,14,10
"5c830a66d6a4d0000164097d","No. It all seemed completely random with zero patterns. I think I was told advice about fruit near the beginning of this task, but that advice was not helpful.","I did not realize what the pattern was until it was revealed to me that is was that the middle was never the correct choice. It was difficult to remember my previous choices.",5,7
"5ca6717bb54fe60001e22441","I felt the gems were mostly in the middle but it did change.","I think in round 1 I was more just focusing on what box to pick for gems and not specifically the name of the box some of them I did remember because I thought necklaces can have gems and things like that but the random ones I didn't really think anything of them.",14,25
"5cafc17ace1fa80017a20d6b","Either the left or right, never the middle one.",NA,28,32
"5cc53cf3291607001757c712","No","I just guessed",25,18
"5d537c0cecc84200153075e9","na","It was too hard to figure out the pattern with the gems.",15,40
"5d76ac914c93440001c03fd7","na","In part 1 I mainly made my selections according to two rules in the following order of importance; 1. if a fruit is shown, pick fruit, and 2. select the option with the greatest amount shown. To my surprise, this made the memory recall task in part 2 very easy. There were a few specific options shown like cloud that I simply like the mental image of, and selected, only if the option of a fruit was not shown during a round. I sometimes also selected the options for vegetables too, again, when the option of a fruit was not shown. In part of the memory recall task, I had the most difficulty remembering which option I had selected during a round in Part 1 when the option of a fruit, vegetable or the mental image of a word that I like was unavailable, and two of the options in that round had equal amounts.",13,48
"5d8cef3c28e183001a335ab0","N/A",NA,12,22
"5d951ede9b6f880018f63b6e","No, the locations seemed random to me.","No other thoughts.",28,17
"5da640b9640c5d00133f384b","No. I haven't noticed any regularity.","I know in part 1, I accidentally overlooked choosing a fruit choice.",22,35
"5de3c83c2033793be6591e53","na",NA,15,15
"5e0fdde8b638537085d51b6c","na",NA,6,6
"5e121701dc79bd8a1a22ca99","na",NA,18,25
"5e3f04fdb721da159417a725","I have not really picked up anything","Challenging study where i tried my best many thanks for the invite",10,18
"5e459f61418f610891628564","no",NA,16,40
"5e787106a9d3b53ee4281eb1","na",NA,21,37
"5ecf5a78ba30501d2ca5e34b","i thought i did and that they were on the right more often than not but i dont think it was right. i was concentrating more on looking for fruit in the label","That was hard but fun! was much harder in the second round trying to remember what i had chosen, felt influenced by your revelation of the left hand column not being used so then i probably went there less in my choices for R2.",20,15
"5ee0edcb962eba464f486b40","I eventually noticed that the left sided one had more chance of having gems","Found it quite interesting",19,27
"5f035c7ce9d86254e87992e4","Usually in the 3rd box",NA,21,31
"5f08e3eda7b89d16266b0cdf","There was no gems in the left hand boxes",NA,8,30
"5f1088e27a43fe0c64ca5814","na","I tried so hard to find a pattern and then remember what I had chosen, but it proved quite difficult. It was very interesting and entertaining though, thank you.",10,8
"5f13fa31696881329aea2f14","na",NA,20,10
"5fd393664d8c020163cb3ef2","na",NA,15,35
"5fda057989ec4c35a700f69f","na",NA,23,15
"60461bfeeac81b04cf62f7a6","NO","QUITE ENJOYABLE STUDY ALTHOUGH I WAS RUBBISH!",10,10
"6053e01a6a8e8516ba7d47a7","I have not noticed anything apart from fruit has gems.","There is nothing to take into account. It was interesting- thank-you.",17,22
"608ab6edcbea5439dc2f537e","not necessarily other than the fruit. Only that it tended to be the higher numbers.",NA,31,23
"60cfcb4c402bc3a7ff5d8f3d","na",NA,20,38
"60e0dc6be0772b7dfdad9b2c","It was mainly in fruits/vegetables.","I found it most fun and interesting collecting the gems and I rather enjoyed taking part today.",16,35
"60eda0b5e8f579f6a73d0f6b","na",NA,15,8
"6142013d4dd8ae5ca2b4329b","Gem location was was frequently in the same column for a number of turns","-",20,15
"6151556ef73ba765c7ff55f6","i noticed the gems were never in the most left most column","nothing else to add. But more than happy to answer any additional questions through the prolific messaging platform.",22,14
"627a76b96bea55210aecbba9","na","N/A",10,40
"629f6b8c65fcae219e245284","yes, they rotated between the left and right most ones",NA,31,35
"62b1a5075f423b00f1d16e07","I did not notice any regularity honestly",NA,20,15
"62fccb9647eb07d62e9b6baa","most seem to be middle or right",NA,37,30
"631610af8e747093cd90e00d","no",NA,17,30
"6329c13285c93cafdf51ed77","Body parts and fruit",NA,21,17
"6367a6adb376bcde64f98559","n/a",NA,13,16
"639844d5b2757a6f6377a69b","sort of but i cannot get  it
",NA,28,26
"63af557b3d4f219c3226b7d6","Seemed to be on the right more than the other 3 positions",NA,18,9
"63d4315d46c8643186d488f7","I think they're usually in boxes with food names on them",NA,18,21
"63f77a5dde1ea03305e119e0","In fruit, as described earlier.
I don't know if I've picked up a pattern that wasn't there but it seemed to be mostly in the centre",NA,28,41
"63f7ac13d942e94c18c92d4b","It seems that the gems tend to appear in the options in the center or on the right.",NA,16,20
"64a9858be9b52e570ffb3c1e","It would switch between the middle and the right side.","The experiment was clear and engaging, thank you. all the best.",35,30
"652359572fd30ff57dfea7fb","In addition to the fruits, the gems also seemed to be located in things to do with houses or household goods.  The gems also seemed to located in animal boxes.","I paid attention and tried to remember the exact box I chose in part 1 when I played part 2.",20,40
"65c347be7d456f4e0902823d","Not any that are totally obvious, I saw sometimes they would be in the same place consecutively but not enough to be obvious at what point.",NA,22,26
"661149a91b7fad3a3d2caf0c","left and middle!",NA,24,28
"6614fb6af3c5aa23b962ea2d","na","some items chosen were easier to recall",10,5
"664c9ccdfb4921f641e9ff91","N/A",NA,20,40
"664ccdd7d581711cd0c36f2b","na",NA,20,6
"664f74aec5c6e6331cd6e860","na","none",20,35
"66537b0010ca11939058e52b","If 2 boxes has the same number then I should choose the 3rd box with different number . Gem is in there","After this I feel I need to do some brain games to better my memory",21,19
"6658c4239af9537eefdfbcc9","na",NA,18,36
"6658e2cb395c02efada6a7a1","usually were the last ones were. always were the fruit is.","nothing, all good, thank you",12,13
"665d3b8935ef56ce74c4761f","no","Fun!",16,18
"66635ce30892c73e41fee639","Not really, just the clue that was given at the beginning","Enjoyed it and paid full attention throughout",22,36
"66661b1242b581f199e49f4c","I noticed it alternative between either the left or right side. There was a pattern it would go 2 to 3 times left then to the right side for 2 to 3 times afterwards.","Nothing comes to mind, was a fun chance to get to use my brain and think about things.",30,25
"66676a7edec232f186836137","na","I thoroughly enjoyed that study, in part 2 I realised in part 1 I was actually choosing animals or food over other options. Also in part 2 the answers were much easier to remember in the second half.",28,43
"66718bbb61a1ad0225968d18","No, no pattern.",NA,32,22
"667be3b3495a08369501bcbb","I have not noticed anything regular.",NA,20,19
"66854f18db63152992b1a81e","I think there was a pattern in the number based on previous number but didn't work it out",NA,7,4
"6693a6ffc58de3bb9c5341de","first two columns only","Nothing to add, thankyou",23,36
"669677d986a5a20026bbf20e","na","Nothing thanks.",18,15
"6697cf02d714e7ee3fdedcec","I did not, I was trying to look for patterns in types of words that gave gems","N/A",20,15
"669eb709554e753adddffe01","They're mostly on the right side or the middle, rarely on the left.","It was really interesting and fun!",20,30
"66a90c2263a2823be078178e","n/a","n/a",13,20
"66b507cc1a7e164991afbe17","na","N/A",33,25
"66c20b634a3b292d25596fbc","na",NA,10,3
"66cbc2627559d53c0e3e4ac4","Sometimes more on the left or right.","It seemed like it was often better to go with the higher number in part 1.",22,40
"66f5e385ef9ec0b27c796a5c","no I did not","Just wondering how I did??                  

Interesting and thank you.",23,20
"670e09973d94a59502e84783","Outside of the fruit based words, I have not.","I accidentally didn't select pears in part 2 when I knew I selected that in the previous round, which is why I gave it a no confidence response. Other than that all good, was fun.",20,39
"6730f2e20f5915ff4ad2c07d","It was a mix between the middle and right hand box that contained the gems","Tricky study!",17,16
"673e2923ed2dd1f79b63d19d","The gems only appear in the first and second boxes alternatively.","The experiment was interesting and helps in jogging our memory. It also offers more insights on analysis and decision-making.",25,35
"6762d29bf8f9712a46c73b62","Yes, I noticed that the gems would show when clicking either on the first word or the third word. Gems were never associated with the word in the center.","The second part was more difficult, relying on my memory, however, once I established another pattern in the first part (choosing the word with the highest points), this helped some in part 2. Thanks, I had a lot of fun!",32,27
"676443cee5ece5f979de2bd2","na",NA,14,16
"676572d1818b3b26ca9f6ce2","i think it is sometimes the longest words and sometimes the odd ones","this study is really a nice one.it tests how one pays attentions. good one",15,30
"676580fa5bded2910a43ed67","na",NA,22,29
"67803b5508f3d995ef13696b","I think there might be a pattern but I haven't worked it out yet. I think most of the gems are in the middle, second most on the left and the least on the right.","Thanks for letting me take part! Good luck with your research.",15,20
"678f6e1f6a3d68ee8c1533f5","na",NA,10,15
"6792ae75a1d32bb9534a819f","na","very interesting perception of memory",19,30
"67c5d7d4bfda0ffd6d9a5ef8","na","I didn't discern the pattern in round 1, and it threw me somewhat in the second round.",18,13
"67e069199f5b036960b0cc5f","Yes. Towards the end of the round, only the middle and far right items contained the gems.","No additional comments at the moment.",20,16
"681b781064a5701a5ceee3bc","seemed to appear much more frequently in centre and right position than on the left, was alternating between middle and right for a while but then became less predictable (to me) again",NA,18,33
"682ac1b6669fa157b2399b41","na","none",30,30
"68a5eefd236f1c08d08ffce6","I did not. What I saw is that there was almost no repetition in the location.","Interesting experiment, thank you.",20,25
